Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_SPST_B3U-1000P,2,SW_SPST,C231329
"C1, C13, C20, C25, C26, C3, C33, C34",0603,8,10u,C19702
"C10, C11, C19, C2, C21, C22, C23, C28, C30, C5, C8, C9",0603,12,0.1u,C14663
"C14, C15, C16, C17, C18",0603,5,1u,C15849
"C24, C27, C29, C31",0603,4,22u,C84419
C32,0603,1,10u,C90053
"D2, D3",0603,2,LED,C2290
"J1, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,C131337
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J3,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,Conn_01x24,C202112
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,C37208
J7,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03,C131339
J8,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04,C131334
L1,1008,1,0.47u,C2981231
"R1, R17, R19, R26, R33, R5",0603,6,10k,C15401
"R10, R6",0603,2,5.1k,C23186
"R12, R13, R14",0603,3,4.7k,C23162
R15,0603,1,680,C23228
R16,0603,1,3.9k,C23018
"R18, R20",0603,2,56k,C23206
R2,0603,1,2k,C22975
R22,0603,1,511k,C23194
R23,0603,1,91k,C23265
"R24, R29, R38, R4, R7, R8",0603,6,100k,C25803
R25,0603,1,25k,C2828637
R27,0603,1,330k,C23137
R28,0603,1,110k,C25805
"R3, R30, R39, R40",0603,4,1k,C21190
"R32, R36",0603,2,0,C21189
"R34, R35",0603,2,22,C23345
R9,0603,1,330,C23138
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871T-2AAI/ML,C144351
U4,MAX98357A_TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,C910544
U5,SOT-23-6,1,SRV05-4,C7420376
U6,SOT-23-3,1,DS8561-15S3,C5795628
U7,SOT-23-3,1,XC6206P282MR,C347374
U8,TPS63802DLAR_DLA0010A,1,TPS63802DLAR,C2845237
