Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,120.35,-70.05,90.0,top
C1,121.434799,-66.398577,0.0,top
C10,149.85,-64.75,90.0,top
C11,116.675,-111.6,0.0,top
C13,163.75,-112.95,90.0,top
C14,120.8,-79.15,0.0,top
C15,131.65,-108.1,270.0,top
C16,133.95,-103.1,0.0,top
C17,138.85,-107.875,270.0,top
C18,141.175,-103.1,180.0,top
C19,156.85,-94.125,90.0,top
C2,121.434799,-63.998577,0.0,top
C20,141.35,-98.5,180.0,top
C21,131.675,-96.9,180.0,top
C22,134.775,-96.95,0.0,top
C23,141.35,-96.9,180.0,top
C24,149.525,-113.75,0.0,top
C25,131.675,-98.6,180.0,top
C26,120.9,-108.98,180.0,top
C27,112.18,-109.44,0.0,top
C28,153.2,-110.55,180.0,top
C29,155.475,-105.05,0.0,top
C3,133.603829,-115.708672,270.0,top
C30,155.45,-107.05,0.0,top
C31,144.65,-116.05,180.0,top
C32,148.65,-105.3,180.0,top
C33,154.35,-117.1,180.0,top
C34,154.35,-115.45,180.0,top
C5,114.15,-89.375,90.0,top
C8,136.75,-126.15,0.0,top
C9,138.65,-97.725,90.0,top
D2,151.85,-140.65,90.0,top
D3,149.95,-87.2375,90.0,top
J1,159.441813,-114.370974,0.0,top
J2,136.85,-143.45,0.0,top
J3,136.6,-91.95,180.0,top
J4,159.35,-100.56,0.0,top
J6,116.55,-98.0,0.0,top
J7,157.25,-86.45,0.0,top
J8,136.65,-122.1,0.0,top
L1,151.55,-103.1,180.0,top
R1,120.775,-77.55,0.0,top
R10,143.85,-139.65,0.0,top
R12,152.525,-112.85,0.0,top
R13,120.7,-75.85,180.0,top
R14,134.775,-98.65,0.0,top
R15,146.55,-93.475,270.0,top
R16,148.35,-93.425,90.0,top
R17,147.375,-95.85,0.0,top
R18,125.525,-95.45,180.0,top
R19,124.75,-93.225,90.0,top
R2,149.55,-123.65,270.0,top
R20,126.65,-93.225,90.0,top
R22,149.4,-109.475,270.0,top
R23,150.95,-109.475,270.0,top
R24,145.35,-108.8,90.0,top
R25,153.5,-120.75,90.0,top
R26,147.25,-123.575,90.0,top
R27,144.65,-119.05,0.0,top
R28,144.625,-117.55,0.0,top
R29,155.61,-83.4,0.0,top
R3,147.25,-87.275,90.0,top
R30,159.18,-83.4,0.0,top
R32,112.17,-107.84,180.0,top
R33,151.57,-77.02,180.0,top
R34,120.805,-82.3,0.0,top
R35,120.81,-80.73,0.0,top
R36,127.96,-113.01,90.0,top
R38,129.08,-119.21,180.0,top
R39,116.82,-120.3,180.0,top
R4,151.55,-78.75,0.0,top
R40,116.82,-121.9,0.0,top
R5,136.925,-129.1,0.0,top
R6,129.975,-139.75,180.0,top
R7,152.95,-64.775,90.0,top
R8,151.45,-64.725,270.0,top
R9,151.56,-75.48,0.0,top
RESET1,151.75,-70.15,90.0,top
U2,149.9375,-117.85,90.0,top
U4,116.6125,-108.65,0.0,top
U5,136.8125,-135.95,0.0,top
U6,133.5,-105.8,0.0,top
U7,140.7125,-105.8,0.0,top
U8,151.75,-106.15,90.0,top
