"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C7,C9,C10,C11,C12","6","10u","","","","",""
"C2,C4,C5,C6,C8","5","0.1u","","","","",""
"C3","1","1u","","","","",""
"D1","1","LED","","","","",""
"J1,J5,J6","3","Conn_01x02_Pin","","","","",""
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Conn_01x24","","","","",""
"J4","1","Conn_01x06","","","","",""
"MK1","1","ICS-43434","","","","Sensor_Audio:InvenSense_ICS-43434-6_3.5x2.65mm","https://www.invensense.com/wp-content/uploads/2016/02/DS-000069-ICS-43434-v1.2.pdf"
"R1,R5","2","10k","","","","",""
"R2","1","2k","","","","",""
"R3,R6","2","5.1k","","","","",""
"R4","1","100k","","","","",""
"R7","1","1k","","","","",""
"R8,R9","2","4.7k","","","","",""
"SW1,SW2","2","SW_SPST","","","","",""
"U1","1","ESP32-S3-WROOM-2","","","","RF_Module:ESP32-S3-WROOM-2","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-2_datasheet_en.pdf"
"U2","1","MCP73831-2-OT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
"U3","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U4","1","MAX98357A","","","","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf"
"U5","1","SRV05-4","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.onsemi.com/pub/Collateral/SRV05-4-D.PDF"
